uri,toxicity_prob,toxicity_tier
at://did:plc:6aw4p4tkwc5qf4mvzlwz7p5j/app.bsky.feed.post/3mmyr6ca5hc2c,0.7701451,high
at://did:plc:gnwfqzjapwrey5mj53c6isth/app.bsky.feed.post/3mmyquisedc2p,0.08241652,low
at://did:plc:dfpywa25tz3fkcrm2yb2aq4h/app.bsky.feed.post/3mmyoxv7sh22y,0.0201057,low
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmyoijxzak23,0.17285149,medium
at://did:plc:hlwnuzbnl6pqsyrlxzut65iz/app.bsky.feed.post/3mmyntws3f22v,0.19599396,medium
at://did:plc:vg6xcxg4hafkdr5jbb6cizx5/app.bsky.feed.post/3mmyn4krok22n,0.25727063,medium
at://did:plc:ll52la5ic5u5n2oivmwol4b5/app.bsky.feed.post/3mmyml7ketc2y,0.5885171,medium
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmymf26yzs23,0.08953904,low
at://did:plc:ftxb44r3bzx4afmr2odn3t6k/app.bsky.feed.post/3mmym7jgl6c22,0.06896287,low
at://did:plc:d2vt42xj542m2cxu5upgvzgk/app.bsky.feed.post/3mmym6bujis2x,0.07450261,low
at://did:plc:b4ds3ci5jworfo6r5rvcvszm/app.bsky.feed.post/3mmylkj3plk2h,0.11171334,medium
at://did:plc:cv5lew66vhcxhvzvwky7v6gp/app.bsky.feed.post/3mmyljdoxos2p,0.22712809,medium
at://did:plc:csqioavhmhk3sv63hnp6qeqg/app.bsky.feed.post/3mmylgyvrns2d,0.05725329,low
at://did:plc:xxinpiwria5b3pmwzyjamd42/app.bsky.feed.post/3mmyklg62vk2w,0.7510937,high
at://did:plc:kmdd6wiblotah6trcbeaukjh/app.bsky.feed.post/3mmyjhsw3422g,0.03639866,low
at://did:plc:7uqsdwqtah4rzhqktv4gq2bt/app.bsky.feed.post/3mmz7sszcqc2i,0.56269526,medium
at://did:plc:qlekkifqfvr7wyisf22h55tz/app.bsky.feed.post/3mmz65w2rsq2w,0.011749268,low
at://did:plc:6unyw3meoudvzayenwsqq2id/app.bsky.feed.post/3mmz54vwajc2v,0.022846194,low
at://did:plc:zoynfijwbhjx4fjdul5v4a46/app.bsky.feed.post/3mmz4ukng3k25,0.19986437,medium
at://did:plc:raablndljezj7zgfu4asaq4e/app.bsky.feed.post/3mmz3svb2wc2r,0.02685301,low
at://did:plc:ndx5fdygwnreep5f4k7a5ixg/app.bsky.feed.post/3mmz3onxynk2m,0.050573748,low
at://did:plc:sjkjr6xfa5cwb5pjvqvjelpy/app.bsky.feed.post/3mmz2ft3skk27,0.025792383,low
at://did:plc:nlwlryolbglj4so5vu53xghx/app.bsky.feed.post/3mmyzecwzr42q,0.011749268,low
at://did:plc:2nzlmhgp2y57hthyuzzkfmpz/app.bsky.feed.post/3mmyzbecasc2t,0.32236105,medium
at://did:plc:b54v6eyytayw4olor2qbgpmz/app.bsky.feed.post/3mmyyjzwjis22,0.025085296,low
at://did:plc:7t2nlnnsowc7y6xft4ijo4sg/app.bsky.feed.post/3mmyx6qauz225,0.13908891,medium
at://did:plc:teejnhudp247teadhpfobfng/app.bsky.feed.post/3mmywugrqys2l,0.8540474,high
at://did:plc:shl6npg6fy34ggf46mvice2n/app.bsky.feed.post/3mmyvszqthc2g,0.032627538,low
at://did:plc:y3wyn2keqln5hdywt7btznbj/app.bsky.feed.post/3mmyvayj2rk2f,0.31825066,medium
at://did:plc:vmuvu34srhl2pmavc3ga6olb/app.bsky.feed.post/3mmyuejqdw22o,0.2763787,medium
at://did:plc:fkpayy2qbpabsvkmsioihqax/app.bsky.feed.post/3mmytztxhh22h,0.063027434,low
at://did:plc:ek4jrl6m2vc4jl7ajjg233fk/app.bsky.feed.post/3mmytrxjjfi2q,0.01419965,low
at://did:plc:sk5x3em52wjmysdvmev42yc3/app.bsky.feed.post/3mmytozyc422z,0.45703048,medium
at://did:plc:zhe7gepsb2hkfdcbshrugltg/app.bsky.feed.post/3mmysmt2oyi2e,0.5559701,medium
at://did:plc:i5gmnybq64snuv2wbmpqqgsr/app.bsky.feed.post/3mmysguvqa22y,0.02343543,low
at://did:plc:vxzqeu2zbp4bviwvmqbixlps/app.bsky.feed.post/3mmyn4eucji2r,0.025792383,low
at://did:plc:kud5uvk2ijrmk4nmu66rfkw5/app.bsky.feed.post/3mmylql3ust2z,0.040430736,low
at://did:plc:3dut2wtzluilhf52vopvhkkm/app.bsky.feed.post/3mmyk4detvk2e,0.52811706,medium
at://did:plc:kqly7rhh6lx3kzencn3if2pz/app.bsky.feed.post/3mmyjidzln22z,0.013005874,low
at://did:plc:pazbpjv5k63ddhfnrujm3frc/app.bsky.feed.post/3mmyjfmbjb32o,0.039462693,low
at://did:plc:j2jgv6hvhj3ooej6gcpnrbye/app.bsky.feed.post/3mmyf6sg6kv2a,0.018723432,low
at://did:plc:kpizethajzhstpt5qi3mwskr/app.bsky.feed.post/3mmye7ebscs2q,0.017843807,low
at://did:plc:g7c37jv2v2aii2b2j7fhost7/app.bsky.feed.post/3mmye3q5qas2v,0.056016337,low
at://did:plc:gi3tnijmq4mae32wssrkqquh/app.bsky.feed.post/3mmydtdsuxc2z,0.584095,medium
at://did:plc:rskzylzv3jk7xxvpxgtqvcfv/app.bsky.feed.post/3mmycg7agyg2v,0.023199737,low
at://did:plc:ohgy2fg7tx37he7nxvtf6c73/app.bsky.feed.post/3mmy7avb7ns2v,0.29405528,medium
at://did:plc:2v2fa4i42pyc75i6trtdtshu/app.bsky.feed.post/3mmy6zklsus2e,0.26859093,medium
at://did:plc:yczfi2wjvzndyczoeooddtq6/app.bsky.feed.post/3mmxthnnqj22m,0.08953904,low
at://did:plc:2xrkpkfer6tj3q47msdzj53p/app.bsky.feed.post/3mmxrj7atbk22,0.50789946,medium
at://did:plc:sjkjr6xfa5cwb5pjvqvjelpy/app.bsky.feed.post/3mmxr6vw3zc2p,0.017969469,low
at://did:plc:h2ktnbihbuefxdsdnpjg72z2/app.bsky.feed.post/3mmxpea3sek2j,0.78711975,high
at://did:plc:7ltu4gdc2ebbsd7pm6tycf2e/app.bsky.feed.post/3mmxo6e5l4k2m,0.11223003,medium
at://did:plc:oqccgcwnckvihxtkfe5ldyph/app.bsky.feed.post/3mmxnygmg5s2q,0.12520397,medium
at://did:plc:sffgmfwsoyfiwy3wwz43775m/app.bsky.feed.post/3mmxnkkihy22r,0.01646154,low
at://did:plc:fwqplt2wznpduywszl433y7k/app.bsky.feed.post/3mmxlu42h3s2y,0.88599813,high
at://did:plc:qi343rjbfwg5hpbmpw4ak7fc/app.bsky.feed.post/3mmxkoyuggk2h,0.23415339,medium
at://did:plc:xuemqxr2ddetamkekhpst3wg/app.bsky.feed.post/3mmxkgxkk2k2s,0.29771072,medium
at://did:plc:jo2h2huvqqkdrscijw2bbni2/app.bsky.feed.post/3mmxkavy3fk2g,0.6544696,medium
at://did:plc:zbpdmlnpf2dxmjqzn7awfqe4/app.bsky.feed.post/3mmxjsjrjfk2q,0.22311419,medium
at://did:plc:tbaycr3xjlfplnwv5rmi7wiy/app.bsky.feed.post/3mmxgdoali223,0.19893374,medium
at://did:plc:w5faqecorvfotneoef2a4uvj/app.bsky.feed.post/3mmxeokfc2s2q,0.017718147,low
at://did:plc:hvldswx3gq6ijpshquxoncbg/app.bsky.feed.post/3mmxdtjj4ek2s,0.07845957,low
at://did:plc:dh3zppmzjohqyo2qblcphp6k/app.bsky.feed.post/3mmxcecdmw22s,0.3389984,medium
at://did:plc:ln6ixpna4wvqsz3lxlt3sgy7/app.bsky.feed.post/3mmxc7al5hc23,0.36095104,medium
at://did:plc:el3v52tqg4blgchxizx4wsju/app.bsky.feed.post/3mmxbzgztd72f,0.071337044,low
at://did:plc:j75ohwp36dmamlcgaj3l6tjm/app.bsky.feed.post/3mmx6qd57f22g,0.3245134,medium
at://did:plc:4uq2gk2b7nlmrbnvj262cmib/app.bsky.feed.post/3mmx646fngc2u,0.19314334,medium
at://did:plc:ebovc3hnxjadg5cuul6geibu/app.bsky.feed.post/3mmx2jawzm22l,0.020231359,low
at://did:plc:7t2nlnnsowc7y6xft4ijo4sg/app.bsky.feed.post/3mmx2isnhyw2n,0.019226074,low
at://did:plc:5clan7z4wsuvaffihedjv6fu/app.bsky.feed.post/3mmx22xj4jc2w,0.017718147,low
at://did:plc:ndiridku6fjpliymq4pi3ag5/app.bsky.feed.post/3mmwzwdu4ql2o,0.11088664,medium
at://did:plc:bpxsg2x54bjfegnzklqoiicp/app.bsky.feed.post/3mmwzi7jphd2c,0.16043124,medium
at://did:plc:ddudzmay2wvdrojclaipzqwa/app.bsky.feed.post/3mmyy6bom5s2o,0.050821137,low
at://did:plc:ijqklhh7lctbjswe5mh3lbz3/app.bsky.feed.post/3mmyxnszhes22,0.8696708,high
at://did:plc:rtxk47jyq2j5mae7ud7kl3fr/app.bsky.feed.post/3mmywpnocrk2f,0.4269174,medium
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmywa32rms2d,0.11378009,medium
at://did:plc:luj5rs7vt77ovxbuzmsw5bk5/app.bsky.feed.post/3mmyuwlinvc2f,0.50503236,medium
at://did:plc:k7q46pry7inack4vs2q45t4p/app.bsky.feed.post/3mmyug7w3fs2z,0.16765249,medium
at://did:plc:rj7zv7h367rk4vj7liwsqbrv/app.bsky.feed.post/3mmynmh26fs2x,0.049584184,low
at://did:plc:d3maybpqhbyox6743zcq6swo/app.bsky.feed.post/3mmymrbfnpk2k,0.045131154,low
at://did:plc:nm5rp6ilbkq6xheb32dhg2w6/app.bsky.feed.post/3mmyl4cr2he2k,0.06065326,low
at://did:plc:brk4hddiyzyfoy7ewjnmml75/app.bsky.feed.post/3mmyl47t6gb2m,0.06065326,low
at://did:plc:e6j262mqqmh7gykrfttywuii/app.bsky.feed.post/3mmykrem2pk27,0.36095104,medium
at://did:plc:5swp5lmvmmgem6cuoupeqqcf/app.bsky.feed.post/3mmykavjvw22d,0.08637348,low
at://did:plc:tepqloq52nfjl3j6lwzxl4oz/app.bsky.feed.post/3mmyk3r7dis2t,0.15048122,medium
at://did:plc:to66iawvah3w4vtgnlcrzgm4/app.bsky.feed.post/3mmyjfirn522n,0.103928015,medium
at://did:plc:u6fmdnx3zafb62wuefzhcmgc/app.bsky.feed.post/3mmyiiko75k22,0.34757367,medium
at://did:plc:672dbym5t2u4skt3nr4px53v/app.bsky.feed.post/3mmyfsslbwk2p,0.71760553,high
at://did:plc:672dbym5t2u4skt3nr4px53v/app.bsky.feed.post/3mmyf6befnk2p,0.6588125,medium
at://did:plc:bzz2awlzwre7w72uqpmnehuo/app.bsky.feed.post/3mmyeonqcj226,0.76197964,high
at://did:plc:bzz2awlzwre7w72uqpmnehuo/app.bsky.feed.post/3mmyejbjoo226,0.5885171,medium
at://did:plc:tepqloq52nfjl3j6lwzxl4oz/app.bsky.feed.post/3mmyeeiyigc2w,0.50789946,medium
at://did:plc:onosb7hressea4vw5yyiajsk/app.bsky.feed.post/3mmxwodeqok2f,0.063423134,low
at://did:plc:jtr624fwsbthchl7jllspsnj/app.bsky.feed.post/3mmxrmjihec2m,0.11440011,medium
at://did:plc:h4p22gecby7ovfvedqkuhaud/app.bsky.feed.post/3mmxqykvyzc2t,0.2553839,medium
at://did:plc:tvykhhrcwuuyggiswnfae7yl/app.bsky.feed.post/3mmxkxdxhcs2h,0.4838166,medium
at://did:plc:67g57bjh3i4bcfnzwwzuyuqp/app.bsky.feed.post/3mmxkuqwjtc2v,0.6308517,medium
at://did:plc:iwph7lvihzselxoahyepgtnp/app.bsky.feed.post/3mmxi4qqdm224,0.017718147,low
at://did:plc:qrsogso5aw2o6y6meie4pspk/app.bsky.feed.post/3mmxhgbo2j72t,0.1104733,medium
at://did:plc:ouodjjllsdjdc3vm4nmemis7/app.bsky.feed.post/3mmxh6kceqk2s,0.10826672,medium
at://did:plc:iyrjgtfhsltmvqb36zzmgifo/app.bsky.feed.post/3mmxffld4a22f,0.52139956,medium
at://did:plc:tgpec7t2wsdbdclxhlgkltej/app.bsky.feed.post/3mmxfd6oqnc2n,0.6020386,medium
at://did:plc:ppoq7c4onf46cpeejixgnlav/app.bsky.feed.post/3mmxb675dv22b,0.54325575,medium
at://did:plc:476ww6juzmwivwcoanrwyk23/app.bsky.feed.post/3mmxayg7hss2y,0.3245134,medium
at://did:plc:feiibhdumkm7fgadjjt2pufz/app.bsky.feed.post/3mmxaoduzcs2s,0.46186632,medium
at://did:plc:uebsbwsxua3andd7ieru5fu3/app.bsky.feed.post/3mmx54gv6pc22,0.32020867,medium
at://did:plc:hlwnuzbnl6pqsyrlxzut65iz/app.bsky.feed.post/3mmx4fphpsc2i,0.044636376,low
at://did:plc:ud2rtrimgtkhazutsw2ljsgf/app.bsky.feed.post/3mmx3yzz3d22b,0.19893374,medium
at://did:plc:h5s3fxfvfxsle5q6j4p3ozfv/app.bsky.feed.post/3mmx34tfrph2c,0.051068526,low
at://did:plc:fjyc2fgsaiwvnbwwp6d757ps/app.bsky.feed.post/3mmwzb33qpk2w,0.24442963,medium
at://did:plc:627gbuht3alle4pppn6atsf7/app.bsky.feed.post/3mmwxttjyss2b,0.8540474,high
at://did:plc:gwdguvdp5ehcq3f25qysfnat/app.bsky.feed.post/3mmwxdbl4ak26,0.42349213,medium
at://did:plc:uuibfh77qbgk2hzrs7czfdtp/app.bsky.feed.post/3mmwvhq76ok2x,0.20242359,medium
at://did:plc:tutkpqtfsfdql5rj3j4bygq6/app.bsky.feed.post/3mmwugdoofs2m,0.10089093,medium
at://did:plc:dsc66www2uxi35nvz2mnjmjj/app.bsky.feed.post/3mmwtnpfihs2s,0.085582085,low
at://did:plc:ypqutcnqrieguugjpcsyskc4/app.bsky.feed.post/3mmwsresvm22q,0.4269174,medium
at://did:plc:oobayuj4zhhswbciunshqkpi/app.bsky.feed.post/3mmwsr3aku22y,0.07687678,low
at://did:plc:4bll5n4d2oxdjogdu23cailv/app.bsky.feed.post/3mmwplhinnb2h,0.10870059,medium
at://did:plc:nz4k57gn4j7x7hflejxcuhqm/app.bsky.feed.post/3mmwpaizyo22r,0.018974753,low
at://did:plc:oobayuj4zhhswbciunshqkpi/app.bsky.feed.post/3mmwowosip72u,0.24442963,medium
at://did:plc:cfpdio344obkem3ebjx2ituu/app.bsky.feed.post/3mmwodazpz225,0.15545623,medium
at://did:plc:pk3lr7pqhjbompxee3kyq4jh/app.bsky.feed.post/3mmz7twbu3a2k,0.008293601,low
at://did:plc:jgv2xq4crc56kx6pvjtvyrhh/app.bsky.feed.post/3mmz7qt6brs2o,0.014073989,low
at://did:plc:3jlsxg76ybo3uyh4akdotsko/app.bsky.feed.post/3mmz7jeunbk2r,0.584095,medium
at://did:plc:5zjcb7ad2hglabmkhuv6v724/app.bsky.feed.post/3mmz7gzyapc27,0.021432023,low
at://did:plc:6wdsug7asxcvbg2guyncf27h/app.bsky.feed.post/3mmz7gtep6c2j,0.019351736,low
at://did:plc:tcnemjoknietnvtp7eubuhnu/app.bsky.feed.post/3mmz7gmsudc22,0.0414203,low
at://did:plc:bvgh5nrbwjz7qolcroaustqf/app.bsky.feed.post/3mmz7fffwps2v,0.112333365,medium
at://did:plc:s6ddtcyhm4cfrhocpplr4jnx/app.bsky.feed.post/3mmz75e5cf22s,0.0926474,low
at://did:plc:46viq7iv5ducp5e5jvsbh6mx/app.bsky.feed.post/3mmz6zevglc2u,0.008419261,low
at://did:plc:jth37n2qbm7ytqdlra56cy2w/app.bsky.feed.post/3mmz6y6kops2p,0.103494145,medium
at://did:plc:f4jrwxkdtfjp2hqhmwnf3su7/app.bsky.feed.post/3mmz6xcxups2q,0.024378212,low
at://did:plc:jpv6jwr6szhvahhwzocr5qhk/app.bsky.feed.post/3mmz6vj6nw227,0.022374803,low
at://did:plc:repptmoqirb6jbcerzwexk2y/app.bsky.feed.post/3mmz6s6t4tc2v,0.1269396,medium
at://did:plc:xctwfqnm5djl3dc2kl6hnb5r/app.bsky.feed.post/3mmz6r63ej224,0.013571346,low
at://did:plc:keuqd5ezlwtmmi7cgacgkkve/app.bsky.feed.post/3mmz6nanbdk2x,0.05651112,low
at://did:plc:4ymdr2ry2sm4723jcapw7qga/app.bsky.feed.post/3mmz6e7lfak2i,0.16043124,medium
at://did:plc:vly6qmfsixrtjtntai3xmgth/app.bsky.feed.post/3mmz5yxzvhk2k,0.019100413,low
at://did:plc:nqobwch2uohq5a2gj3uetnh5/app.bsky.feed.post/3mmz5xeoz7222,0.20009702,medium
at://did:plc:snfeagonimg4aom2thvsorkp/app.bsky.feed.post/3mmz5xcvr6222,0.036634352,low
at://did:plc:y56emyz3p2v5quzklvg4pyyt/app.bsky.feed.post/3mmz5vahbcs2g,0.20219094,medium
at://did:plc:tv3zas257qxp5wwrrukpvgbg/app.bsky.feed.post/3mmz5us7mb227,0.65996873,medium
at://did:plc:zkkth3gp76cvjfmaagbvrby3/app.bsky.feed.post/3mmz5sitfok2j,0.6989911,medium
at://did:plc:vv7ncq7yo3egwxa5fuojwrbg/app.bsky.feed.post/3mmz5rba5wc2k,0.012503231,low
at://did:plc:ftsjmdchfgx5oxbbbc3xfrpw/app.bsky.feed.post/3mmz5pc325c2d,0.022139108,low
at://did:plc:h3bnbutnqeyk2lgyh4ar2dbf/app.bsky.feed.post/3mmz5o7u7xk2d,0.075294,low
at://did:plc:oypvxgy6pbrcgqj3ggb4lnhl/app.bsky.feed.post/3mmz5mhelac2b,0.079250954,low
at://did:plc:klhr2zszyr6iqy6eecmyyjgt/app.bsky.feed.post/3mmz5jhwyfc27,0.048842013,low
at://did:plc:ma5n7cq5oubn424zpxipovbg/app.bsky.feed.post/3mmz5j47nnk2i,0.015016444,low
at://did:plc:wpmwyfwhtarqqqqr43agjyma/app.bsky.feed.post/3mmz4znh7xc2v,0.008356431,low
at://did:plc:vtluikc62q3hcfkazd4l7xml/app.bsky.feed.post/3mmz4ytstys25,0.054284602,low
at://did:plc:esh6ezvuf3oycig2t6jtyuwy/app.bsky.feed.post/3mmz4ylzqd22p,0.0070684096,low
at://did:plc:il3ae2usxo4l3ey7trkiaerr/app.bsky.feed.post/3mmz4vujrou2c,0.058737632,low
at://did:plc:fnogidhskbs3kvn3rjb2hp6h/app.bsky.feed.post/3mmz4ves2kc2p,0.020231359,low
at://did:plc:jjgudsbzvcfsbmusxcgxhbyb/app.bsky.feed.post/3mmz4synmq22s,0.015079274,low
at://did:plc:psbsjzzqckygodtw4wzbqalh/app.bsky.feed.post/3mmz4s4gvz22n,0.007853788,low
at://did:plc:pm5oad3hifrznrkarnxgia6s/app.bsky.feed.post/3mmz4ozc7nc2v,0.03639866,low
at://did:plc:fbvwkj56tyd2ru54rybgxpbz/app.bsky.feed.post/3mmz4jrx2jp2p,0.0201057,low
at://did:plc:pvrtdpjrnk67z7mehywacmze/app.bsky.feed.post/3mmz4apbe4c2s,0.03062413,low
at://did:plc:hazq7mkvz3rfdm2pngaizb3a/app.bsky.feed.post/3mmz4a3v4n22r,0.017843807,low
at://did:plc:23ltfgqty4nkbqnk3ikxhhyt/app.bsky.feed.post/3mmz465gfhs2u,0.17545098,medium
at://did:plc:vxgdyibsekkjkz5wj7cxokeu/app.bsky.feed.post/3mmz42nka222z,0.3266089,medium
at://did:plc:icf3i6a7ff6qx3d4oc7acqtr/app.bsky.feed.post/3mmz3ygysqc2n,0.069754265,low
at://did:plc:kkergqgbhb56ptpwj2wenkje/app.bsky.feed.post/3mmz3w35kvl2r,0.038519915,low
at://did:plc:o3efj5m5g3og2vmpuysi33bn/app.bsky.feed.post/3mmz3ujcoq22o,0.05799546,low
at://did:plc:kcnfefeaqi3twvfxycjo3lp2/app.bsky.feed.post/3mmz3opjcrk2v,0.009550206,low
at://did:plc:afprhrzos5epew7be4iinrrs/app.bsky.feed.post/3mmz3mt5am22l,0.30716252,medium
at://did:plc:e6byc4dg6hnphwb27k6wyoey/app.bsky.feed.post/3mmz3bwcy7s2l,0.8403191,high
at://did:plc:m76un2njnauykioul73lfo6x/app.bsky.feed.post/3mmz36keocg2u,0.026735162,low
at://did:plc:jbvsndf2fyb6nocmjt3kaycn/app.bsky.feed.post/3mmz35lfhf22m,0.024731753,low
at://did:plc:auosi5l2g76gykunujwg3cga/app.bsky.feed.post/3mmz33bdemc2n,0.04315203,low
at://did:plc:shau7hloektsscw4q6vahuhh/app.bsky.feed.post/3mmz32spiwk2f,0.04785245,low
at://did:plc:25oecrgr4ngsun2anwerxq23/app.bsky.feed.post/3mmz7qnql6s26,0.01017851,low
at://did:plc:eeqygiigi4r4zw2vqfndpbvv/app.bsky.feed.post/3mmz7776pd22t,0.034277402,low
at://did:plc:zq46h5uvohvv6qjq6esvcbms/app.bsky.feed.post/3mmz6mp5vwc2t,0.20102765,medium
at://did:plc:izgy2dfct56fjfzmssegkekq/app.bsky.feed.post/3mmz6m2nqu22q,0.04760506,low
at://did:plc:f4jrwxkdtfjp2hqhmwnf3su7/app.bsky.feed.post/3mmz6hnfyzc2q,0.010743983,low
at://did:plc:3gphk2kxfp4kx7bqyj7vqozw/app.bsky.feed.post/3mmz5o4mphk2s,0.022964042,low
at://did:plc:yjqekodgo25hjem4isderwak/app.bsky.feed.post/3mmz5fgjpv22q,0.006345861,low
at://did:plc:pgyjupi7rqmzaq4bqy565wxq/app.bsky.feed.post/3mmz5cvqjd222,0.007822373,low
at://did:plc:pgyjupi7rqmzaq4bqy565wxq/app.bsky.feed.post/3mmz5cvqgfc22,0.011749268,low
at://did:plc:pgyjupi7rqmzaq4bqy565wxq/app.bsky.feed.post/3mmz5cubz2222,0.0077281278,low
at://did:plc:f66ovrmanp3uygqre2eicwst/app.bsky.feed.post/3mmz56qdlu225,0.00804228,low
at://did:plc:rq5y4u6rx2kgeqck6b75buqz/app.bsky.feed.post/3mmz4wxqdms2o,0.0042410456,low
at://did:plc:32yff3gy2pdtfyh5ry7qf7mh/app.bsky.feed.post/3mmz4vdzy222d,0.018095128,low
at://did:plc:qjtnvrgadxgrppqmatfbilev/app.bsky.feed.post/3mmz4tdxwl72b,0.009675868,low
at://did:plc:paql7wzyycuseaajhyulf2lf/app.bsky.feed.post/3mmz4pyjqyk2k,0.032156147,low
at://did:plc:xlope3oo4etb3hq5l3adqznx/app.bsky.feed.post/3mmz4nzzn3k2d,0.0074453913,low
at://did:plc:yonemnmrh7t4hedjgcbexzxu/app.bsky.feed.post/3mmz4lsn7jk2u,0.009236055,low
at://did:plc:753bbhp6m3m7v24m6ypde3rn/app.bsky.feed.post/3mmz4gsucfa2o,0.0154562555,low
at://did:plc:yjqekodgo25hjem4isderwak/app.bsky.feed.post/3mmz3yeun3s2q,0.015393426,low
at://did:plc:j2gkbaao7yxeeec4y2atxhj7/app.bsky.feed.post/3mmz3vsv4x223,0.006785673,low
at://did:plc:6suaht4ufuavk3szkhjgcjkw/app.bsky.feed.post/3mmz3e5cdss2l,0.006942749,low
at://did:plc:5iop3y4dve3qqf6gjaeyw46y/app.bsky.feed.post/3mmz3dcl4ms2d,0.017718147,low
at://did:plc:yjqekodgo25hjem4isderwak/app.bsky.feed.post/3mmz36yuhwk2q,0.0075710523,low
at://did:plc:jy7ubxdbebjkh6odfwjctl7p/app.bsky.feed.post/3mmz2z6nejk2q,0.15490346,medium
at://did:plc:gxwvjwqbrmozf2ysmm56autn/app.bsky.feed.post/3mmz2oa7viw2n,0.016964182,low
at://did:plc:6c7edzlxccnun75kximgjfad/app.bsky.feed.post/3mmz2czhobs27,0.11140333,medium
at://did:plc:5hqiqrfxaa3we6cyk3neyet3/app.bsky.feed.post/3mmz25pbvn22u,0.013005874,low
at://did:plc:ldtdnoxaint7yzelpnpljwes/app.bsky.feed.post/3mmz242s7n22d,0.030034892,low
at://did:plc:dutvbtidkzyzyurmpiq4zbpx/app.bsky.feed.post/3mmz23ysx7s2o,0.017969469,low
at://did:plc:rq5y4u6rx2kgeqck6b75buqz/app.bsky.feed.post/3mmyzlqrlry2v,0.0042410456,low
